-63,0,0,88,-91,0
-63,0,0,88,-91,0
-62,0,0,90,-91,0
-56,0,0,92,-94,0
-46,0,0,95,-99,0
-36,0,0,94,-102,0
-30,0,0,94,-103,0
-25,0,0,96,-105,0
-19,0,0,97,-109,0
-12,0,0,96,-112,0
-7,0,0,98,-114,0
-2,0,0,98,-116,0
3,0,0,99,-117,0
7,0,0,100,-119,0
9,0,0,99,-120,0
7,0,0,99,-118,0
1,0,0,99,-115,0
-5,0,0,99,-112,0
-12,0,0,97,-109,0
-20,0,0,96,-106,0
-26,0,0,95,-103,0
-34,0,0,94,-99,0
-41,0,0,95,-95,0
-47,0,0,94,-91,0
-51,0,0,91,-89,0
-53,0,0,90,-89,0
-54,0,0,91,-89,0
-54,0,0,84,-87,0
-54,0,0,67,-86,0
-52,0,0,50,-87,0
-49,0,0,34,-90,0
-48,0,0,23,-93,0
-48,0,0,20,-101,0
-49,0,0,18,-117,0
-50,0,0,18,-118,0
-50,0,0,20,-115,0
-51,0,0,21,-108,0
-52,0,0,21,-108,0
-52,0,0,22,-107,0
-51,0,0,23,-109,0
-48,0,0,23,-109,0
-43,0,0,22,-115,0
-38,0,0,18,-129,0
-31,0,0,11,-147,0
-24,0,0,17,-138,0
-17,0,0,20,-137,0
-11,0,0,21,-135,0
-7,0,0,19,-137,0
-5,0,0,21,-134,0
-5,0,0,23,-131,0
-9,0,0,19,-134,0
-13,0,0,19,-133,0
-17,0,0,21,-129,0
-22,0,0,18,-130,0
-28,0,0,12,-141,0
-34,0,0,6,-154,0
-41,0,0,18,-124,0
-48,0,0,21,-113,0
-53,0,0,20,-105,0
-57,0,0,21,-103,0
-60,0,0,23,-102,0
-63,0,0,23,-102,0
-65,0,0,21,-103,0
-67,0,0,18,-111,0
-66,0,0,21,-109,0
-64,0,0,23,-108,0
-61,0,0,24,-112,0
-57,0,0,23,-106,0
-53,0,0,24,-99,0
-49,0,0,25,-105,0
-47,0,0,24,-111,0
-47,0,0,27,-111,0
-48,0,0,28,-107,0
-48,0,0,28,-106,0
-48,0,0,28,-103,0
-50,0,0,50,-95,0
-52,0,0,71,-93,0
-53,0,0,73,-92,0
-53,0,0,73,-92,0
-53,0,0,72,-92,0
-54,0,0,77,-89,0
-55,0,0,80,-88,0
-56,0,0,80,-88,0
-56,0,0,82,-86,0
-57,0,0,84,-84,0
-57,0,0,84,-84,0
-57,0,0,85,-85,0
-57,0,0,85,-86,0
